Variable,hhid,personid,respondent,cohort,qn1a,numppl,qn1b,qn1c,qn1d,qn1f,qn1g,qn1h,qn1i,qn1jyear,qn1k,qn1l,qn2a,qn2b,qn3a,qn3b,qn4a,qn4b,qn4c,qn4e,qn4j,qn5a,qn5b,qn5c,qn6a,qn6b,qn7,qn8a,qn8b,qn9,qn10a,qn10b,qn11a,qn11aa,qn12,qn13,qn18a,qn18b,qn18c,qn18d01,qn18dmnth,qn18dyear,qn18e,qn19b,qn20,qn24a,qn24b,qn25a,qn25b,qn25c,qn25d,qn26b,qn26d,qn26e,qn26estate,qn26f,qn26h,qn27a,qn27b01,qn27bmnth,qn27byear,qn27c,qn28a,qn28b,qn29b,qn29c,qn29c_months,Weight_person,Weight_person_pop,Weight_person_R1,Weight_person_R2,Weight_person_R3,Weight_person_R4,Weight_person_R5,Weight_person_R6,Weight_person_R7,Weight_person_R8,Weight_person_R9,Weight_person_R10,Weight_person_R11,Weight_person_R12,Weight_person_R13,Weight_person_R14,Weight_person_R15,Weight_person_R16,Weight_person_R17,Weight_person_R18,Weight_person_R19,Weight_person_R20,Weight_person_R21,Weight_person_R22,Weight_person_R23,Weight_person_pop_R1,Weight_person_pop_R2,Weight_person_pop_R3,Weight_person_pop_R4,Weight_person_pop_R5,Weight_person_pop_R6,Weight_person_pop_R7,Weight_person_pop_R8,Weight_person_pop_R9,Weight_person_pop_R10,Weight_person_pop_R11,Weight_person_pop_R12,Weight_person_pop_R13,Weight_person_pop_R14,Weight_person_pop_R15,Weight_person_pop_R16,Weight_person_pop_R17,Weight_person_pop_R18,Weight_person_pop_R19,Weight_person_pop_R20,Weight_person_pop_R21,Weight_person_pop_R22,Weight_person_pop_R23,qn30a,qn30d,qn31a,qn31d,qn31e,qn31f,qn31f_months,qn32a,qn32d,qn32e,qn33a,qn33d,qn33e,qn33f,qn33f_months,qn34a,qn34d,qn34e,qn34f,qn34f_months,qn35a,qn38a,qn38b,qn38c,ui_soi_pubassist,ui_soi,Weight_household,Weight_household_pop,Weight_household_R1,Weight_household_R2,Weight_household_R3,Weight_household_R4,Weight_household_R5,Weight_household_R6,Weight_household_R7,Weight_household_R8,Weight_household_R9,Weight_household_R10,Weight_household_R11,Weight_household_R12,Weight_household_R13,Weight_household_R14,Weight_household_R15,Weight_household_R16,Weight_household_R17,Weight_household_R18,Weight_household_R19,Weight_household_R20,Weight_household_R21,Weight_household_R22,Weight_household_R23,Weight_household_pop_R1,Weight_household_pop_R2,Weight_household_pop_R3,Weight_household_pop_R4,Weight_household_pop_R5,Weight_household_pop_R6,Weight_household_pop_R7,Weight_household_pop_R8,Weight_household_pop_R9,Weight_household_pop_R10,Weight_household_pop_R11,Weight_household_pop_R12,Weight_household_pop_R13,Weight_household_pop_R14,Weight_household_pop_R15,Weight_household_pop_R16,Weight_household_pop_R17,Weight_household_pop_R18,Weight_household_pop_R19,Weight_household_pop_R20,Weight_household_pop_R21,Weight_household_pop_R22,Weight_household_pop_R23,ui_agect_arrival,qn17_01,qn17_02,qn17_03,qn17_04,qn17_05,qn17_06,qn17_07,qn17_08,qn17_97,qn26ha_01,qn26ha_02,qn26ha_03,qn26ha_04,qn26ha_05,qn26ha_06,qn26ha_07,qn26ha_08,qn26ha_97,qn29a_01,qn29a_02,qn29a_03,qn29a_04,qn29a_05,qn29a_06,qn29a_07,qn29a_08,qn29a_09,qn29a_10,qn29a_11,qn29a_12,qn29a_97,qn29d_01,qn29d_02,qn29d_03,qn29d_04,qn29d_97,qn30b_01,qn30b_02,qn30b_03,qn30b_04,qn30b_05,qn31b_01,qn31b_02,qn31b_03,qn31b_04,qn31b_05,qn32b_01,qn32b_02,qn32b_03,qn32b_04,qn32b_05,qn33b_01,qn33b_02,qn33b_03,qn33b_04,qn33b_05,qn34b_01,qn34b_02,qn34b_03,qn34b_04,qn34b_05,ui_qn8a_annual,ui_qn10a_annual,ui_cashassist,ui_lfp,ui_emprate,ui_medicaidrma,ui_lpr,ui_school,ui_work
,2774,27741,1,2,1,5,1,1,47.00,1,18,18,97,2016,4,,10,2,5,97,4,2,1,2,2,2,1,,40,,9998.00,42000,4,,,,,,,,51,40,42000.00,1,8,2016,2,10,1,1,,1,,,,14,2,,,97,1,2,9,,2017,,1,1,2,1,,0.79,60.98,0.75,0.74,0.82,0.76,0.82,0.76,0.78,,0.80,0.78,0.80,0.73,0.85,0.85,0.77,0.81,0.75,0.79,0.73,0.76,0.83,0.79,0.79,61.59,60.34,66.50,62.57,67.20,61.76,63.11,,66.16,64.35,65.25,59.75,68.84,69.43,62.88,66.05,60.49,63.89,59.09,61.97,65.69,62.69,61.42,2,12,1,,,2,,1,,,1,,,2,,1,,,2,,1,2,2000.00,1,1,3,1.14,89.97,1.12,1.15,1.22,1.16,1.13,1.14,1.09,,1.18,1.11,1.19,1.15,1.20,1.14,1.12,1.15,1.15,1.15,1.12,1.07,1.20,1.16,1.15,93.56,94.49,100.49,95.71,93.62,93.89,90.16,,97.74,92.31,97.41,94.95,98.19,94.00,91.82,94.85,94.16,94.23,92.32,88.77,96.52,92.64,90.95,4,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,42000,,2,1,1,1,1,0,1
,2775,27754,0,1,4,5,4,,9.00,1,18,18,1,2015,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,28.77,0.42,0.32,0.31,0.35,0.31,0.47,0.36,,0.37,0.45,0.48,0.38,0.38,0.33,0.28,0.42,0.35,0.31,0.29,0.44,0.37,0.36,0.38,34.49,25.74,24.91,28.38,25.26,38.33,29.64,,30.42,36.67,38.63,31.39,31.12,26.74,23.02,33.94,28.78,25.41,23.47,36.30,29.41,28.17,29.32,2,12,1,,,2,,1,,,1,,,2,,1,,,2,,1,1,1050.00,1,1,3,0.63,49.48,0.64,0.64,0.64,0.60,0.59,0.63,0.63,,0.59,0.66,0.65,0.69,0.64,0.61,0.61,0.63,0.60,0.62,0.63,0.64,0.63,0.64,0.63,53.31,52.68,52.83,49.96,49.30,51.73,52.13,,49.21,54.62,52.80,57.53,52.33,50.37,50.19,52.29,49.60,51.04,51.82,53.19,51.20,51.18,49.66,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
,2775,27755,0,1,5,5,4,,1.00,2,18,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,1,,,2,,1,,,1,,,2,,1,,,2,,1,1,1050.00,1,1,3,0.63,49.48,0.64,0.64,0.64,0.60,0.59,0.63,0.63,,0.59,0.66,0.65,0.69,0.64,0.61,0.61,0.63,0.60,0.62,0.63,0.64,0.63,0.64,0.63,53.31,52.68,52.83,49.96,49.30,51.73,52.13,,49.21,54.62,52.80,57.53,52.33,50.37,50.19,52.29,49.60,51.04,51.82,53.19,51.20,51.18,49.66,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
,2775,27753,0,1,3,5,4,,10.00,1,18,18,1,2015,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,28.77,0.42,0.32,0.31,0.35,0.31,0.47,0.36,,0.37,0.45,0.48,0.38,0.38,0.33,0.28,0.42,0.35,0.31,0.29,0.44,0.37,0.36,0.38,34.49,25.74,24.91,28.38,25.26,38.33,29.64,,30.42,36.67,38.63,31.39,31.12,26.74,23.02,33.94,28.78,25.41,23.47,36.30,29.41,28.17,29.32,2,12,1,,,2,,1,,,1,,,2,,1,,,2,,1,1,1050.00,1,1,3,0.63,49.48,0.64,0.64,0.64,0.60,0.59,0.63,0.63,,0.59,0.66,0.65,0.69,0.64,0.61,0.61,0.63,0.60,0.62,0.63,0.64,0.63,0.64,0.63,53.31,52.68,52.83,49.96,49.30,51.73,52.13,,49.21,54.62,52.80,57.53,52.33,50.37,50.19,52.29,49.60,51.04,51.82,53.19,51.20,51.18,49.66,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
,2775,27752,0,1,2,5,2,1,30.00,2,18,18,1,2015,1,2,98,1,1,,3,3,1,1,,1,,,,,,,,,,,1,,,1,,,,,,,,,,1,,1,,,,48,2,,,12,2,2,8,,,2,2,2,3,1,,0.38,29.27,0.37,0.39,0.38,0.36,0.35,0.40,0.38,,0.33,0.40,0.42,0.37,0.39,0.37,0.35,0.37,0.37,0.37,0.35,0.39,0.38,0.38,0.38,30.64,31.71,30.93,29.81,28.80,32.70,30.77,,27.25,32.84,33.83,30.02,31.36,30.45,28.68,30.03,29.78,30.04,28.50,32.03,30.06,30.11,29.63,2,12,1,,,2,,1,,,1,,,2,,1,,,2,,1,1,1050.00,1,1,3,0.63,49.48,0.64,0.64,0.64,0.60,0.59,0.63,0.63,,0.59,0.66,0.65,0.69,0.64,0.61,0.61,0.63,0.60,0.62,0.63,0.64,0.63,0.64,0.63,53.31,52.68,52.83,49.96,49.30,51.73,52.13,,49.21,54.62,52.80,57.53,52.33,50.37,50.19,52.29,49.60,51.04,51.82,53.19,51.20,51.18,49.66,3,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,2,2,3,1,1,0,3
,2775,27751,1,1,1,5,1,1,37.00,1,18,18,1,2015,1,,6,1,5,97,4,3,2,2,2,2,1,,15,,12.00,,,,,,,,,,32,15,11000.00,9,,2015,2,5,1,1,,2,1,,,48,2,,,12,1,2,8,,,2,2,2,3,1,,0.92,71.74,0.90,0.97,0.95,0.90,0.90,0.97,0.91,,0.79,1.01,0.96,0.86,0.99,0.88,0.91,0.93,0.89,0.88,0.89,1.02,0.91,0.94,0.93,74.67,78.80,77.40,73.45,73.82,78.74,74.25,,65.15,82.57,78.27,70.38,80.21,71.76,73.65,75.60,72.21,71.34,72.46,83.55,72.35,74.14,72.35,2,12,1,,,2,,1,,,1,,,2,,1,,,2,,1,1,1050.00,1,1,3,0.63,49.48,0.64,0.64,0.64,0.60,0.59,0.63,0.63,,0.59,0.66,0.65,0.69,0.64,0.61,0.61,0.63,0.60,0.62,0.63,0.64,0.63,0.64,0.63,53.31,52.68,52.83,49.96,49.30,51.73,52.13,,49.21,54.62,52.80,57.53,52.33,50.37,50.19,52.29,49.60,51.04,51.82,53.19,51.20,51.18,49.66,3,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,,1
,2776,27762,0,1,2,5,2,1,64.00,2,5,5,97,2014,2,2,12,4,1,,4,3,1,1,,2,1,,40,,13.00,,,,,,,,,,48,40,999998.00,8,,,3,3,98,1,,1,,,,11,2,,,97,7,1,,,,2,1,1,4,4,,1.35,104.74,1.37,1.36,1.42,1.37,1.39,1.34,1.36,,1.36,1.32,1.24,1.36,1.31,1.33,1.41,1.41,1.33,1.35,1.32,1.27,1.35,1.35,1.31,112.74,110.09,115.39,112.57,113.79,108.94,110.47,,111.76,108.15,100.49,111.15,106.32,108.57,114.63,114.77,107.76,109.69,107.44,103.28,107.62,106.64,102.47,1,,1,,,2,,1,,,1,,,3,48,1,,,2,,1,2,99998.00,1,2,7,1.19,93.47,1.17,1.23,1.16,1.21,1.27,1.20,1.19,,1.19,1.25,1.14,1.18,1.13,1.21,1.21,1.25,1.11,1.20,1.22,1.23,1.16,1.16,1.17,97.99,101.18,95.76,100.61,105.46,98.78,98.55,,99.23,103.48,92.93,97.40,92.80,99.75,99.44,103.03,91.23,98.31,99.96,101.60,93.59,92.74,92.34,5,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,2,0,1
,2776,27763,0,1,3,5,9,,998.00,1,5,5,97,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,2,,1,,,1,,,3,48,1,,,2,,1,2,99998.00,1,2,7,1.19,93.47,1.17,1.23,1.16,1.21,1.27,1.20,1.19,,1.19,1.25,1.14,1.18,1.13,1.21,1.21,1.25,1.11,1.20,1.22,1.23,1.16,1.16,1.17,97.99,101.18,95.76,100.61,105.46,98.78,98.55,,99.23,103.48,92.93,97.40,92.80,99.75,99.44,103.03,91.23,98.31,99.96,101.60,93.59,92.74,92.34,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
,2776,27764,0,1,4,5,4,,998.00,2,5,24,97,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,2,,1,,,1,,,3,48,1,,,2,,1,2,99998.00,1,2,7,1.19,93.47,1.17,1.23,1.16,1.21,1.27,1.20,1.19,,1.19,1.25,1.14,1.18,1.13,1.21,1.21,1.25,1.11,1.20,1.22,1.23,1.16,1.16,1.17,97.99,101.18,95.76,100.61,105.46,98.78,98.55,,99.23,103.48,92.93,97.40,92.80,99.75,99.44,103.03,91.23,98.31,99.96,101.60,93.59,92.74,92.34,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
,2776,27765,0,1,5,5,8,4,20.00,1,5,24,97,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,2,,1,,,1,,,3,48,1,,,2,,1,2,99998.00,1,2,7,1.19,93.47,1.17,1.23,1.16,1.21,1.27,1.20,1.19,,1.19,1.25,1.14,1.18,1.13,1.21,1.21,1.25,1.11,1.20,1.22,1.23,1.16,1.16,1.17,97.99,101.18,95.76,100.61,105.46,98.78,98.55,,99.23,103.48,92.93,97.40,92.80,99.75,99.44,103.03,91.23,98.31,99.96,101.60,93.59,92.74,92.34,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
,2776,27761,1,1,1,5,1,1,71.00,1,5,5,97,2014,2,,12,4,5,97,4,3,1,1,,2,1,,40,,12.00,,,,,,,,,,98,35,999998.00,1,1,2015,1,2,1,1,,1,,,,11,2,,,97,7,1,,,,2,2,1,4,4,,1.39,107.82,1.40,1.43,1.43,1.45,1.43,1.40,1.42,,1.38,1.40,1.26,1.35,1.33,1.40,1.52,1.45,1.32,1.37,1.34,1.32,1.37,1.41,1.35,115.22,115.81,116.44,118.58,117.05,113.90,115.21,,113.74,114.57,102.13,110.39,107.59,114.05,123.45,117.70,106.89,111.60,108.78,107.88,109.22,111.05,105.60,1,,1,,,2,,1,,,1,,,3,48,1,,,2,,1,2,99998.00,1,2,7,1.19,93.47,1.17,1.23,1.16,1.21,1.27,1.20,1.19,,1.19,1.25,1.14,1.18,1.13,1.21,1.21,1.25,1.11,1.20,1.22,1.23,1.16,1.16,1.17,97.99,101.18,95.76,100.61,105.46,98.78,98.55,,99.23,103.48,92.93,97.40,92.80,99.75,99.44,103.03,91.23,98.31,99.96,101.60,93.59,92.74,92.34,5,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,2,0,1
,2796,27963,0,1,3,4,4,,10.00,1,97,24,97,2014,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.34,802.71,11.75,9.80,10.36,9.85,9.18,10.48,9.93,,9.54,9.71,10.37,9.76,10.51,11.71,10.81,10.66,9.79,10.28,10.62,9.73,10.20,10.58,10.30,969.95,794.70,843.90,806.37,751.72,853.01,806.52,,785.69,796.59,842.98,796.36,850.30,957.13,877.87,867.55,795.10,835.54,864.72,793.81,810.17,836.12,804.71,2,12,1,,,2,,1,,,1,,,2,,1,,,2,,1,1,813.00,1,1,3,2.70,212.58,2.57,2.83,2.84,2.56,2.60,2.70,2.66,,2.57,2.79,2.72,2.71,2.75,2.69,2.75,2.67,2.57,2.76,2.87,2.78,2.88,2.65,2.70,214.64,233.53,234.51,211.82,215.65,222.20,220.20,,213.87,230.99,222.61,224.25,225.21,222.76,225.99,220.24,211.15,226.64,235.76,230.04,232.37,212.04,212.94,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
,2796,27962,0,1,2,4,2,1,39.00,2,3,24,97,2014,2,2,13,1,97,97,4,2,1,1,,2,1,,40,,14.00,,,,,,,,,,50,40,34000.00,1,8,2014,1,1,1,1,,1,,,,56,2,,,3,2,2,1,9,2019,,1,1,4,3,,3.21,249.32,3.29,3.30,3.25,3.35,3.33,3.23,3.29,,3.30,3.20,3.37,3.25,3.22,3.21,3.29,3.28,3.22,3.23,3.18,3.24,3.22,3.25,3.22,271.33,267.59,264.76,274.25,273.01,263.34,266.98,,271.51,262.67,273.95,264.94,260.40,262.66,267.17,266.80,261.22,262.24,259.17,264.65,255.77,257.11,251.60,2,12,1,,,2,,1,,,1,,,2,,1,,,2,,1,1,813.00,1,1,3,2.70,212.58,2.57,2.83,2.84,2.56,2.60,2.70,2.66,,2.57,2.79,2.72,2.71,2.75,2.69,2.75,2.67,2.57,2.76,2.87,2.78,2.88,2.65,2.70,214.64,233.53,234.51,211.82,215.65,222.20,220.20,,213.87,230.99,222.61,224.25,225.21,222.76,225.99,220.24,211.15,226.64,235.76,230.04,232.37,212.04,212.94,3,,,,,,,,,,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,1,0,1
,2796,27961,1,1,1,4,1,1,58.00,1,3,24,97,2014,2,,11,1,8,97,3,2,1,1,,2,1,,30,,10.00,,,,,,,,,,30,35,25000.00,1,6,2018,3,9,1,1,,1,,,,54,2,,,3,2,2,1,9,2019,,2,2,2,2,5,3.21,249.32,3.29,3.30,3.25,3.35,3.33,3.23,3.29,,3.30,3.20,3.37,3.25,3.22,3.21,3.29,3.28,3.22,3.23,3.18,3.24,3.22,3.25,3.22,271.33,267.59,264.76,274.25,273.01,263.34,266.98,,271.51,262.67,273.95,264.94,260.40,262.66,267.17,266.80,261.22,262.24,259.17,264.65,255.77,257.11,251.60,2,12,1,,,2,,1,,,1,,,2,,1,,,2,,1,1,813.00,1,1,3,2.70,212.58,2.57,2.83,2.84,2.56,2.60,2.70,2.66,,2.57,2.79,2.72,2.71,2.75,2.69,2.75,2.67,2.57,2.76,2.87,2.78,2.88,2.65,2.70,214.64,233.53,234.51,211.82,215.65,222.20,220.20,,213.87,230.99,222.61,224.25,225.21,222.76,225.99,220.24,211.15,226.64,235.76,230.04,232.37,212.04,212.94,4,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,1,0,1
,2796,27964,0,1,4,4,4,,7.00,2,97,24,97,2014,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.20,791.88,11.75,8.88,10.36,8.72,9.01,10.48,9.93,,9.10,9.71,9.91,9.71,10.51,11.71,10.66,10.66,9.24,10.28,10.62,9.40,9.93,10.58,10.06,969.95,719.66,843.90,714.34,737.65,853.01,806.52,,749.48,796.59,804.93,792.85,850.30,957.13,865.77,867.55,749.85,835.54,864.72,767.14,788.85,836.12,785.92,2,12,1,,,2,,1,,,1,,,2,,1,,,2,,1,1,813.00,1,1,3,2.70,212.58,2.57,2.83,2.84,2.56,2.60,2.70,2.66,,2.57,2.79,2.72,2.71,2.75,2.69,2.75,2.67,2.57,2.76,2.87,2.78,2.88,2.65,2.70,214.64,233.53,234.51,211.82,215.65,222.20,220.20,,213.87,230.99,222.61,224.25,225.21,222.76,225.99,220.24,211.15,226.64,235.76,230.04,232.37,212.04,212.94,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
,2798,27983,0,3,3,3,4,,2.00,1,14,96,97,2017,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,18.08,0.10,0.23,0.26,0.23,0.23,0.22,0.21,,0.23,0.27,0.28,0.20,0.23,0.21,0.30,0.21,0.26,0.20,0.21,0.20,0.24,0.23,0.24,8.08,18.64,21.27,18.74,18.81,18.27,16.96,,19.11,22.00,23.15,16.29,18.31,17.40,24.35,17.41,20.83,15.85,17.48,16.59,18.73,18.26,18.84,1,,1,,,3,4,1,,,1,,,2,,1,,,8,,1,1,800.00,2,1,5,0.20,15.90,0.21,0.20,0.20,0.20,0.21,0.20,0.20,,0.21,0.20,0.20,0.19,0.21,0.21,0.20,0.20,0.22,0.20,0.21,0.19,0.20,0.21,0.20,17.14,16.14,16.33,16.93,17.27,16.78,16.67,,17.70,16.17,16.76,15.41,16.97,17.31,16.11,16.67,17.68,16.50,17.27,15.89,16.00,16.47,16.10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
,2798,27982,0,3,2,3,2,1,30.00,2,14,97,97,2017,3,2,10,5,1,,4,3,1,1,,1,,,,,,,,,,,1,,,1,,,,,,,,,,1,,1,,,,18,2,,,98,7,2,1,2,2018,,1,1,5,1,,0.09,7.08,0.10,0.09,0.09,0.09,0.09,0.09,0.09,,0.09,0.09,0.09,0.09,0.10,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,7.92,7.23,7.37,7.53,7.03,7.45,7.34,,7.22,7.48,7.41,7.15,7.95,7.23,7.34,7.40,7.45,7.57,7.08,7.56,7.17,7.05,7.10,1,,1,,,3,4,1,,,1,,,2,,1,,,8,,1,1,800.00,2,1,5,0.20,15.90,0.21,0.20,0.20,0.20,0.21,0.20,0.20,,0.21,0.20,0.20,0.19,0.21,0.21,0.20,0.20,0.22,0.20,0.21,0.19,0.20,0.21,0.20,17.14,16.14,16.33,16.93,17.27,16.78,16.67,,17.70,16.17,16.76,15.41,16.97,17.31,16.11,16.67,17.68,16.50,17.27,15.89,16.00,16.47,16.10,3,0,0,0,1,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,1,1,0,3
,2798,27981,1,3,1,3,1,1,35.00,1,2,96,97,2017,3,,12,5,8,97,3,2,2,1,,2,1,,40,,12.00,,,,,,,,,,98,40,999998.00,1,2,2018,2,1,98,1,,1,,,,18,2,,,98,7,2,1,2,2018,,1,1,5,1,,0.12,9.05,0.14,0.11,0.11,0.11,0.11,0.12,0.12,,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.12,0.12,0.12,0.13,0.12,0.12,0.12,11.50,9.01,9.04,9.26,9.37,9.82,9.57,,9.07,9.35,9.26,8.65,10.00,8.96,8.77,9.34,9.73,9.46,9.72,10.34,9.25,9.17,9.23,1,,1,,,3,4,1,,,1,,,2,,1,,,8,,1,1,800.00,2,1,5,0.20,15.90,0.21,0.20,0.20,0.20,0.21,0.20,0.20,,0.21,0.20,0.20,0.19,0.21,0.21,0.20,0.20,0.22,0.20,0.21,0.19,0.20,0.21,0.20,17.14,16.14,16.33,16.93,17.27,16.78,16.67,,17.70,16.17,16.76,15.41,16.97,17.31,16.11,16.67,17.68,16.50,17.27,15.89,16.00,16.47,16.10,3,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,0,1
,2801,28015,0,2,5,5,4,,10.00,2,18,18,1,2016,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.88,223.50,2.17,2.78,2.86,3.11,2.70,2.73,2.87,,2.77,2.97,2.86,3.02,3.10,2.55,2.22,2.74,2.92,3.26,3.74,3.08,2.87,2.95,2.92,178.97,225.70,233.39,254.75,221.39,222.54,233.59,,228.32,244.03,232.30,246.74,250.59,208.68,180.06,222.70,236.77,264.54,304.31,251.54,227.84,232.97,228.31,2,12,1,,,2,,8,,,1,,,2,,2,12,2,1,,1,1,700.00,2,1,3,1.02,79.80,1.01,1.00,1.04,1.05,1.03,0.99,1.00,,1.05,0.96,1.05,1.02,1.02,1.01,1.00,1.01,1.02,1.01,1.02,0.99,1.01,1.05,1.04,84.46,82.14,85.76,86.76,85.35,81.79,83.01,,86.94,79.84,86.13,84.16,83.46,83.40,81.83,82.99,83.62,82.64,83.63,81.56,81.88,84.04,82.12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,,,,,,,,,,,,,,,,0,1,1,1,1,,,1,,,,,,
,2801,28011,1,2,1,5,1,1,40.00,1,18,18,1,2016,4,,9,1,4,97,3,2,1,2,2,2,2,2,20,25,12.00,,,12.00,,,,,,,98,24,16400.00,1,5,2016,1,6,1,1,,2,2,5,1,36,2,,,14,2,2,9,,2017,,1,1,4,1,,0.90,69.60,0.82,0.86,0.91,0.89,0.93,0.86,0.91,,0.91,0.92,0.91,0.87,0.89,0.91,0.89,0.86,0.88,0.90,0.87,0.92,0.90,0.92,0.90,67.58,69.64,74.00,73.02,75.91,70.43,74.25,,74.70,75.21,73.62,71.40,72.16,74.11,72.07,69.83,71.25,73.00,71.23,74.71,71.74,72.59,70.70,2,12,1,,,2,,8,,,1,,,2,,2,12,2,1,,1,1,700.00,2,1,3,1.02,79.80,1.01,1.00,1.04,1.05,1.03,0.99,1.00,,1.05,0.96,1.05,1.02,1.02,1.01,1.00,1.01,1.02,1.01,1.02,0.99,1.01,1.05,1.04,84.46,82.14,85.76,86.76,85.35,81.79,83.01,,86.94,79.84,86.13,84.16,83.46,83.40,81.83,82.99,83.62,82.64,83.63,81.56,81.88,84.04,82.12,3,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,,,,,,,,,,,,,,,,0,1,1,1,1,,,1,1,1,1,1,5,1
